1.514042633158218520e-01,1.614307339187092405e-01
1.412129318593694505e-01,1.364279330819904712e-01
1.458792263305546677e-01,1.421079970385612512e-01
1.540310275934196893e-01,1.570176478424677724e-01
1.480558173276094458e-01,1.580130371178608273e-01
1.651815863807032936e-01,1.231301212988252791e-01
1.600027405035083228e-01,1.550607313982457214e-01
1.612587450407134138e-01,1.556020263386636848e-01
1.619150825252945736e-01,1.571480656828323497e-01
1.654471193281374930e-01,0.000000000000000000e+00
1.679818154222932625e-01,0.000000000000000000e+00
1.577935352399916225e-01,1.619436408145550621e-01
1.559487204137421368e-01,1.508371121411546945e-01
1.474089886253269199e-01,1.578954976293528989e-01
1.468323308690043238e-01,9.934524085612161937e-02
