,0
0,0.18986257725942168
1,-0.380777865619954
2,0.28256074990499647
3,-0.8170773467694975
4,2.3621960749101096
5,5.135050123298365
6,-0.026404433707145986
7,-0.1337944116459945
8,0.25736627688166364
9,1.4058971063795587
10,-0.8000365480891654
11,-0.5280177667490255
12,-0.5587255613040337
13,-0.03874561100453347
14,-0.2587940103047245
15,-0.547158371614433
16,-0.1124843622727324
17,-0.16255650890011364
18,0.5124937217692415
19,0.470326328037642
20,-0.3008685471070417
21,0.7183036125957888
22,-0.27837428998535224
23,0.013852333110038728
24,-0.1360882008709917
25,0.6728713819214008
26,0.5747656104200108
27,0.2690775209995825
28,0.7563508746536373
29,1.172604460374542
30,-0.1431838824385919
31,0.15066803617253088
32,-0.7942274213777454
33,0.855754004466767
34,-0.054870809474392795
35,-0.18193162773515478
36,-0.4252120671607405
37,-0.6495638287005159
38,-0.3700119312865694
39,-0.6002285778075598
40,-0.039307568887463847
41,0.09116039950545769
42,0.3408848372364683
43,0.9262460872694381
44,-0.24916862490531644
45,0.4660205924625869
46,-0.3525011899786054
47,-0.9630977116776123
48,-0.8614029174680887
49,-0.19523125612079548
50,-0.7060659261468489
51,2.1060245703050318
52,0.06761706304766525
53,0.5782510705986571
54,1.6969092940143726
55,-0.4540208246062961
56,0.3166661491628379
57,-0.03742075909349397
58,-0.5413158654136986
59,-0.41804641539219795
60,0.8213815519121347
61,-0.8397508965144889
62,-0.5440315050554508
63,0.3621267256805589
64,-0.25964663339199534
65,0.22758056463400103
66,0.6433339103004412
67,1.1404773968449076
68,-0.6326094193071776
69,-0.36890044739135647
70,0.7797524452759378
71,0.5084089844051775
72,0.6621526261418877
73,-0.47962949868325344
74,-0.5716666995758332
75,-0.03229027620464585
76,0.20310488022750642
